skill,job_count,percentage
Python,226,17.725490196078432
C,168,13.176470588235295
SQL,76,5.96078431372549
Java,57,4.470588235294118
C++,52,4.07843137254902
AWS,45,3.5294117647058822
Azure,37,2.9019607843137254
React,26,2.03921568627451
Git,22,1.7254901960784312
JavaScript,21,1.647058823529412
PyTorch,21,1.647058823529412
Docker,19,1.4901960784313726
Kubernetes,19,1.4901960784313726
TensorFlow,10,0.7843137254901961
Pandas,10,0.7843137254901961
Node.js,6,0.4705882352941176
NumPy,6,0.4705882352941176
